,balPayments,expCnt,expDlr,impCnt,impDlr,year
0,-20190224,126911,4400835202,103966,4421025426,1989.01
1,49992495,118320,4336799127,104404,4286806632,1989.02
2,28947677,146376,5329655846,129458,5300708169,1989.03
3,-19078602,135253,4783721566,117551,4802800168,1989.04
4,-61993874,145279,4950046556,125858,5012040430,1989.05
5,102483930,152600,5427446516,130109,5324962586,1989.06
6,80308826,152784,5232679476,126390,5152370650,1989.07
7,-500491127,151257,5268332907,134773,5768824034,1989.08
8,522047245,150905,5474695327,120526,4952648082,1989.09
9,-53625827,149483,5304178197,128533,5357804024,1989.10
10,174972088,153174,5654762430,134468,5479790342,1989.11
11,609029178,161979,6214020993,128154,5604991815,1989.12
12,912401785,1744321,62377174143,1484190,61464772358,총계
0,-663334895,119709,3961054175,111569,4624389070,1990.01
1,-572523037,132467,4679888356,125394,5252411393,1990.02
2,-670193637,149696,5271316421,143878,5941510058,1990.03
3,-371672162,141748,4949850078,136712,5321522240,1990.04
4,-702441099,152485,5214809253,156136,5917250352,1990.05
5,224175878,157225,5688724170,154668,5464548292,1990.06
6,76807543,160688,5489519548,155788,5412712005,1990.07
7,-311305719,153042,5321170272,154308,5632475991,1990.08
8,-16187350,172140,6111779566,150193,6127966916,1990.09
9,-876684376,136229,5284861020,136950,6161545396,1990.10
10,-1502294121,160205,6019915226,149160,7522209347,1990.11
11,557705508,166675,7022842684,142794,6465137176,1990.12
12,-4827947467,1802309,65015730769,1717550,69843678236,총계
0,-1403769244,135229,4639437879,133474,6043207123,1991.01
1,-1835814612,129326,4865481825,140385,6701296437,1991.02
2,-1096830895,149120,5725878565,159382,6822709460,1991.03
3,-1069077966,153007,5838734155,168904,6907812121,1991.04
4,-970713489,160996,6146188463,171700,7116901952,1991.05
5,84754061,158132,6660355373,163946,6575601312,1991.06
6,-1586680458,168799,5540039662,173500,7126720120,1991.07
7,-774252378,155650,5762574404,164292,6536826782,1991.08
8,-754171975,152907,5680160076,151337,6434332051,1991.09
9,-449202294,171942,6636718012,176280,7085920306,1991.10
10,-685672605,163934,6677433437,168484,7363106042,1991.11
11,886695838,166254,7697120000,162321,6810424162,1991.12
12,-9654736017,1865296,71870121851,1934005,81524857868,총계
0,-1944365364,147428,5392307999,151906,7336673363,1992.01
1,-1220053088,123067,5144164730,137370,6364217818,1992.02
2,-768989695,151559,6428776395,163004,7197766090,1992.03
3,-470422772,157747,6360945873,167429,6831368645,1992.04
4,-589530261,157935,6337088025,162398,6926618286,1992.05
5,-193511493,164502,7053355393,168759,7246866886,1992.06
6,-806914354,167595,6351882625,170704,7158796979,1992.07
7,101617804,149459,6176554826,147678,6074937022,1992.08
8,499157463,154121,6625463946,150805,6126306483,1992.09
9,-117155002,170215,7125700873,167093,7242855875,1992.10
10,224877104,158602,6628663088,159836,6403785984,1992.11
11,141547751,170372,7006611308,163344,6865063557,1992.12
12,-5143741907,1872602,76631515081,1910326,81775256988,총계
0,-971729871,126372,5328925042,137310,6300654913,1993.01
1,-551783470,147952,5935294189,155837,6487077659,1993.02
2,-262304026,167449,6914790625,180263,7177094651,1993.03
3,-101791195,167004,6750706309,177941,6852497504,1993.04
4,-204905271,165349,6743280680,167534,6948185951,1993.05
5,-283793839,176953,7248352812,190094,7532146651,1993.06
6,-531602408,182446,6661972180,189688,7193574588,1993.07
7,-26163030,161086,6543793812,180734,6569956842,1993.08
8,165112559,181039,7185482730,174266,7020370171,1993.09
9,472809855,166062,7480809401,185255,7007999546,1993.10
10,88399656,177520,7344628399,191143,7256228743,1993.11
11,643474551,187227,8097829721,197158,7454355170,1993.12
12,-1564276489,2006459,82235865900,2127223,83800142389,총계
0,-1462941875,153790,6067778640,180643,7530720515,1994.01
1,-500936924,143515,6202545004,165049,6703481928,1994.02
2,-704488632,186439,7613307078,213274,8317795710,1994.03
3,-396609394,182604,7668379758,213866,8064989152,1994.04
4,-602251544,184525,7857583489,205962,8459835033,1994.05
5,17802264,194548,8303631102,215022,8285828838,1994.06
6,-729061807,192842,7610753045,210933,8339814852,1994.07
7,-967519961,178716,7601015097,209423,8568535058,1994.08
8,-506314249,183614,8301226048,200737,8807540297,1994.09
9,-223882992,195780,8867096843,223772,9090979835,1994.10
10,-345540119,199433,9225325712,234116,9570865831,1994.11
11,86807577,209386,10694595494,241428,10607787917,1994.12
12,-6334937656,2205192,96013237310,2514225,102348174966,총계
0,-1201244995,164909,7763771216,196599,8965016211,1995.01
1,-1461565165,164712,8430051897,217901,9891617062,1995.02
2,-1667908148,204593,9998218469,248510,11666126617,1995.03
3,-933873434,194526,10158376175,227673,11092249609,1995.04
4,-1171059189,206066,10645669269,249547,11816728458,1995.05
5,-587156069,208182,11245523401,238471,11832679470,1995.06
6,-824308463,203527,10485091425,236684,11309399888,1995.07
7,-901464896,194927,10613203185,235476,11514668081,1995.08
8,-642850233,201266,10973969581,222758,11616819814,1995.09
9,-207105874,208718,11524428519,243767,11731534393,1995.10
10,-413555057,206490,11462588898,246984,11876143955,1995.11
11,-48852854,204531,11757096393,245604,11805949247,1995.12
12,-10060944377,2362447,125057988428,2809974,135118932805,총계
0,-2124476700,177860,9922981251,227513,12047457951,1996.01
1,-1598874915,170469,9883553611,219101,11482428526,1996.02
2,-445961259,198222,11689416879,243437,12135378138,1996.03
3,-2036007946,202139,10637202845,250986,12673210791,1996.04
4,-1443012565,211986,11235754184,260250,12678766749,1996.05
5,-425570900,205932,11302160444,238352,11727731344,1996.06
6,-2832473784,216364,9896713427,254023,12729187211,1996.07
7,-3271052871,197762,9687368263,235686,12958421134,1996.08
8,-1411674663,197112,9992278252,212167,11403952915,1996.09
9,-1695752776,221551,11848367990,266881,13544120766,1996.10
10,-1961618286,216821,11399314594,247316,13360932880,1996.11
11,-1377486640,214704,12220025446,243669,13597512086,1996.12
12,-20623963305,2430922,129715137186,2899381,150339100491,총계
0,-3475867441,184454,9034439478,210797,12510306919,1997.01
1,-2121749106,176403,9362327717,195448,11484076823,1997.02
2,-1729040521,214037,11326863891,229078,13055904412,1997.03
3,-1406131435,219635,11395616590,237013,12801748025,1997.04
4,-528160439,225100,11744573099,226241,12272733538,1997.05
5,104450389,220454,12391592988,221594,12287142599,1997.06
6,-836573822,231802,11806837510,237023,12643411332,1997.07
7,-457835944,207026,11040482671,213745,11498318615,1997.08
8,-211568737,211037,11334410402,214030,11545979139,1997.09
9,-125639285,239680,12465302269,239898,12590941554,1997.10
10,123724271,219612,11833848129,213197,11710123858,1997.11
11,2212221266,225684,12427908948,185705,10215687682,1997.12
12,-8452170804,2574924,136164203692,2623769,144616374496,총계
0,1518031064,172096,9000456188,127415,7482425124,1998.01
1,3337300716,205458,11221887339,153482,7884586623,1998.02
2,3721577053,240468,12009284292,163597,8287707239,1998.03
3,3852042278,241628,12060648650,164547,8208606372,1998.04
4,3721972273,234389,11308331810,154463,7586359537,1998.05
